Name,URL,Availability,"Dataset(N, labels, similar)",Organisms,Features,Learning method,Number determination,Performance measure,Ref.
MLMK-TLM,http://soft.synu.edu.cn/upload/msy.rar,RAR package,"3106, 14, 25%",Human,GO-based features,MK-SVM,Cutoff value,Locative measures,[35]
mGOASVM,http://bioinfo.eie.polyu.edu.hk/mGoaSvmServer/mGOASVM.html,Web access,"207, 6, 25% (virus); 978, 12, 25% (plants)",Virus or plants,GO-based features,ML-SVM,Union of SVM results,Locative measures,[52]
iLoc-Animal,www.jci-bioinfo.cn/iLoc-Animal,Web access,"5048, 20, 25%",Metazoan except human,General form PseAAC,ML-KNN,Cutoff value,Multisite measures,[23]
iLoc-Euk,www.jci-bioinfo.cn/iLoc-Euk,Web access,"7776, 22, 25%",Eukaryotes,General form PseAAC,ML-KNN,Cutoff value,Multisite measures,[24]
iLoc-Gpos,www.jci-bioinfo.cn/iLoc-Gpos,Web access,"519, 4, 25%",Gram-positive bacteria,General form PseAAC,ML-KNN,Direct transfer,Locative measures; ATR,[49]
iLoc-Gneg,www.jci-bioinfo.cn/iLoc-Gneg,Web access,"1392, 8, 25%",Gram-negative bacteria,General form PseAAC,ML-KNN,Direct transfer,ATR,[50]
iLoc-Hum,www.jci-bioinfo.cn/iLoc-Hum,Web access,"3106, 14, 25%",Human,General form PseAAC,ML-KNN,Direct transfer,ATR,[51]
iLoc-Plant,www.jci-bioinfo.cn/iLoc-Plant,Web access,"978, 12, 25%",Plants,General form PseAAC,ML-KNN,Direct transfer,ATR,[48]
iLoc-Virus,www.jci-bioinfo.cn/iLoc-Virus,Web access,"207, 6, 25%",Virus,General form PseAAC,ML-KNN,Direct transfer,ATR,[9]
Euk-mPLoc2,www.csbio.sjtu.edu.cn/bioinf/euk-multi-2/,Web access,"7766, 22, 25%",Eukaryotes,General form PseAAC,OET-KNN; ensemble classifier,Cutoff value,Locative measures; ATR,[21]
Euk-mPLoc,www.csbio.sjtu.edu.cn/bioinf/euk-multi/,Web access,"5618, 22, 25%",Eukaryotes,General form PseAAC,OET-KNN; ensemble classifier,Cutoff value,Locative measures; ATR,[42]
Hum-mPLoc,www.csbio.sjtu.edu.cn/bioinf/hum-multi/,Web access,"2750, 14, 25%",Human,General form PseAAC,OET-KNN; ensemble classifier,Cutoff value,Locative measures; ATR,[47]
Hum-mPLoc2,www.csbio.sjtu.edu.cn/bioinf/hum-multi-2/,Web access,"3106, 14, 25%",Human,General form PseAAC,OET-KNN; ensemble classifier,Cutoff value,Locative measures; ATR,[54]
Plant-mPLoc,www.csbio.sjtu.edu.cn/bioinf/plant-multi/,Web access,"978, 12, 25%",Plants,General form PseAAC,OET-KNN; ensemble classifier,Cutoff value,Locative measures; ATR,[57]
Gneg-mPLoc,www.csbio.sjtu.edu.cn/bioinf/Gneg-multi/,Web access,"1392, 8, 25%",Gram-negative bacteria,General form PseAAC,OET-KNN; ensemble classifier,Cutoff value,Locative measures; ATR,[55]
Gpos-mPLoc,www.csbio.sjtu.edu.cn/bioinf/Gpos-multi/,Web access,"519, 4, 25%",Gram-positive bacteria,General form PseAAC,OET-KNN; ensemble classifier,Cutoff value,Locative measures; ATR,[56]
Virus-mPLoc,www.csbio.sjtu.edu.cn/bioinf/virus-multi/,Web access,"207, 6, 25%",Virus,General form PseAAC,OET-KNN; ensemble classifier,Cutoff value,Locative measures; ATR,[58]
ML-PLoc,www.csbio.sjtu.edu.cn/bioinf/ML-PLoc/,ZIP package,"5909, 14, 80%",Human,General form PseAAC,SVM; ensemble classifier,Cutoff value,Locative measures; ATR,[67]
PSLT,www.mcb.mcgill.ca/~hera/PSLT/,Web access,"2216, NA (human); 1612, NA (yeast); 2095, 9, NA (mouse)","Human, yeast, mouse",Protein motif frequency,Bayes inference,Top-k,Top-k,[33]
YLoc,http://abi.inf.uni-tuebingen.de/Services/YLoc,Web access,(Bacello); (Hönd); (DBMLoc),"Animal, fungal, plant (Bacello); eukaryotes (Hönd); not specific (DBMLoc)",Hybrid features,Bayes inference,Cutoff value,Locative measures; multisite measures; F1-score,[59]
KnowPred,http://bio-cluster.iis.sinica.edu.tw/kbloc/introduce.html,Web access,"28056, 10, NA (ngLOC)","Eukaryotes, no plants",Peptide segments,Knowledgebased inference,Top-k,Top-k,[62]